Syllog;Aac;Eac;Iac;Oac;Aca;Eca;Ica;Oca;NVC;;;;;;;;;;;;;;;;
OA1;0.641025641;0;19.23076923;45.51282051;0;0;1.282051282;4.487179487;19.87179487;;;;;;;;;;;;;;;;
OA2;0;1.923076923;9.615384615;6.41025641;0;1.282051282;2.564102564;56.41025641;12.82051282;;;;;;;;;;;;;;;;
OI1;0;0.641025641;24.35897436;25;0;0.641025641;1.923076923;5.128205128;35.8974359;;;;;;;;;;;;;;;;
OI2;0;1.282051282;7.051282051;9.615384615;0.641025641;1.282051282;7.692307692;37.82051282;30.76923077;;;;;;;;;;;;;;;;
OI3;0;0.641025641;12.82051282;19.23076923;0;0;3.846153846;7.692307692;48.71794872;;;;;;;;;;;;;;;;
OI4;0;2.564102564;6.41025641;10.8974359;0;0;13.46153846;16.02564103;46.79487179;;;;;;;;;;;;;;;;
OE1;0;9.615384615;17.30769231;21.79487179;0;5.128205128;2.564102564;1.923076923;37.17948718;;;;;;;;;;;;;;;;
OE2;0;10.25641026;3.846153846;3.205128205;0;17.94871795;1.923076923;5.769230769;50.64102564;;;;;;;;;;;;;;;;
OE3;0;10.8974359;2.564102564;13.46153846;0;14.74358974;0;3.205128205;47.43589744;;;;;;;;;;;;;;;;
OE4;0;7.051282051;3.846153846;12.82051282;0;10.8974359;0;6.41025641;48.71794872;;;;;;;;;;;;;;;;
OO1;0;0.641025641;7.051282051;46.79487179;0;0;0;2.564102564;37.17948718;;;;;;;;;;;;;;;;
OO2;0;1.923076923;13.46153846;8.974358974;0.641025641;0.641025641;7.051282051;21.79487179;42.30769231;;;;;;;;;;;;;;;;
OO3;0;0;8.333333333;21.79487179;0;0.641025641;0.641025641;1.923076923;64.1025641;;;;;;;;;;;;;;;;
OO4;0;3.205128205;2.564102564;21.15384615;0.641025641;0;0;2.564102564;66.02564103;;;;;;;;;;;;;;;;
